		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	Hum		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	2nd	ET 	Samp	Tx 	Recept	Int.
06/06/16	15:10	11.2	11.6	11.2	68	5.5	1.3	SW	0.80	4.0	SW	11.1	10.8	10.7	---	764.3	0.00	0.0	353	5.06	376	1.0	0.07	1.1	0.050	0.000	11.9	81	8.7	11.7	---	0.00	235	1	100.0	10
06/06/16	15:20	10.9	11.2	10.9	69	5.5	0.9	SSW	0.54	2.2	SW	10.9	10.6	10.6	---	764.4	0.00	0.0	305	4.37	424	0.8	0.06	1.1	0.051	0.000	11.8	81	8.6	11.6	---	0.00	234	1	100.0	10
06/06/16	15:30	11.0	11.0	10.9	72	6.1	0.9	SE	0.54	4.9	SE	11.0	10.7	10.7	---	764.4	0.00	0.0	354	5.07	390	0.8	0.06	0.9	0.051	0.000	11.7	81	8.6	11.6	---	0.00	233	1	100.0	10
06/06/16	15:40	10.7	11.1	10.7	71	5.7	1.3	SE	0.80	4.9	ESE	10.6	10.4	10.3	---	764.4	0.00	0.0	270	3.87	357	0.5	0.04	0.8	0.053	0.000	11.6	81	8.5	11.5	---	0.00	234	1	100.0	10
06/06/16	15:50	10.8	10.8	10.7	68	5.1	1.3	S	0.80	2.7	WSW	10.7	10.4	10.3	---	764.2	0.00	0.0	305	4.37	327	0.4	0.03	0.6	0.052	0.000	11.6	81	8.4	11.4	---	0.00	234	1	100.0	10
06/06/16	16:00	10.9	10.9	10.8	68	5.2	0.9	SW	0.54	3.1	SW	10.9	10.6	10.6	---	764.2	0.00	0.0	269	3.86	290	0.1	0.01	0.5	0.052	0.000	11.5	81	8.4	11.4	---	0.15	232	1	100.0	10
06/06/16	16:10	10.7	10.9	10.7	68	5.1	1.3	SW	0.80	3.6	SSW	10.6	10.4	10.3	---	764.0	0.00	0.0	223	3.20	239	0.0	0.00	0.0	0.053	0.000	11.4	80	8.1	11.3	---	0.00	234	1	100.0	10
06/06/16	16:20	10.4	10.7	10.4	70	5.2	1.3	SSW	0.80	4.9	ESE	10.3	10.2	10.1	---	764.1	0.00	0.0	197	2.82	220	0.0	0.00	0.0	0.055	0.000	11.2	80	7.9	11.1	---	0.00	233	1	100.0	10
06/06/16	16:30	10.3	10.5	10.3	69	4.8	1.3	SW	0.80	4.5	S	10.2	10.0	9.9	---	764.1	0.00	0.0	164	2.35	186	0.0	0.00	0.0	0.056	0.000	11.2	81	8.0	11.1	---	0.00	233	1	100.0	10
06/06/16	16:40	10.2	10.3	10.2	70	5.0	0.4	SW	0.27	2.7	S	10.2	10.0	10.0	---	764.1	0.00	0.0	122	1.75	155	0.0	0.00	0.0	0.056	0.000	11.0	81	7.9	10.9	---	0.00	234	1	100.0	10
06/06/16	16:50	10.2	10.2	10.1	70	4.9	0.4	SSW	0.27	3.1	SSE	10.2	9.9	9.9	---	764.2	0.00	0.0	97	1.39	113	0.0	0.00	0.0	0.057	0.000	10.8	81	7.7	10.8	---	0.00	234	1	100.0	10
06/06/16	17:00	9.8	10.2	9.8	71	4.8	0.9	SW	0.54	3.6	SSW	9.8	9.6	9.6	---	764.2	0.00	0.0	65	0.93	79	0.0	0.00	0.0	0.059	0.000	10.7	81	7.5	10.6	---	0.08	233	1	100.0	10
06/06/16	17:10	9.5	9.9	9.5	73	4.9	0.9	SW	0.54	3.6	S	9.5	9.3	9.3	---	764.2	0.00	0.0	39	0.56	49	0.0	0.00	0.0	0.061	0.000	10.4	82	7.4	10.4	---	0.00	232	1	100.0	10
